Sector_score,LOCATION_ID,PARA_A,SCORE_A,PARA_B,SCORE_B,TOTAL,numbers,Marks,Money_Value,MONEY_Marks,District,Loss,LOSS_SCORE,History,History_score,Score,Risk
3.89,23,4.18,6,2.5,2,6.68,5,2,3.38,2,2,0,2,0,2,2.4,1
3.89,6,0,2,4.83,2,4.83,5,2,0.94,2,2,0,2,0,2,2,0
3.89,6,0.51,2,0.23,2,0.74,5,2,0,2,2,0,2,0,2,2,0
3.89,6,0,2,10.8,6,10.8,6,6,11.75,6,2,0,2,0,2,4.4,1
3.89,6,0,2,0.08,2,0.08,5,2,0,2,2,0,2,0,2,2,0
3.89,6,0,2,0.83,2,0.83,5,2,2.95,2,2,0,2,0,2,2,0
3.89,7,1.1,4,7.41,4,8.51,5,2,44.95,6,2,0,2,0,2,3.2,1
3.89,8,8.5,6,12.03,6,20.53,5.5,4,7.79,4,2,0,2,0,2,4.2,1
3.89,8,8.4,6,11.05,6,19.45,5.5,4,7.34,4,2,0,2,0,2,4.2,1
3.89,8,3.98,6,0.99,2,4.97,5,2,1.93,2,2,0,2,0,2,2.4,1
3.89,8,5.43,6,10.77,6,16.2,5,2,4.42,2,2,0,2,0,2,3.6,1
3.89,8,15.38,6,40.14,6,55.52,5,2,0.96,2,2,1,4,1,4,4,1
3.89,8,5.47,6,7.63,4,13.1,5,2,10.43,6,2,0,2,1,4,3.6,1
3.89,8,1.09,4,0.35,2,1.44,5,2,0,2,2,0,2,0,2,2.2,1
3.89,8,0,2,0.84,2,0.84,5,2,0.007,2,2,0,2,0,2,2,0
3.89,13,1.95,4,9.01,4,10.96,5,2,9,4,2,0,2,0,2,3,1
3.89,37,8.54,6,31.63,6,40.17,5,2,41.28,6,2,0,2,1,4,4.2,1
3.89,37,4.18,6,4.83,2,9.01,5.5,4,14.03,6,2,0,2,0,2,3.2,1
3.89,37,1.81,4,1.03,2,2.84,5,2,0,2,2,0,2,0,2,2.2,1
3.89,37,4.86,6,46.78,6,51.64,5.5,4,63.18,6,2,0,2,0,2,4.4,1
3.89,24,6.26,6,14.1,6,20.36,5,2,34.24,6,2,0,2,1,4,4.2,1
3.89,3,0.02,2,5.94,4,5.96,5,2,0.01,2,2,0,2,0,2,2.6,1
3.89,3,5.31,6,22.79,6,28.1,5,2,205.19,6,2,0,2,1,4,4.2,1
3.89,3,0.94,2,0.01,2,0.95,5,2,0.1,2,2,0,2,0,2,2,0
3.89,4,5.78,6,57.92,6,63.7,5,2,11.16,6,2,0,2,0,2,4,1
3.89,4,7.42,6,2.24,2,9.66,5,2,1.25,2,2,0,2,0,2,2.4,1
3.89,4,0,2,1.1,2,1.1,5,2,0.007,2,2,0,2,0,2,2,0
3.89,14,6.85,6,31.76,6,38.61,5,2,1.46,2,2,0,2,0,2,3.6,1
3.89,14,0,2,1.03,2,1.03,5,2,0,2,2,0,2,0,2,2,0
3.89,37,0,2,0.75,2,0.75,5,2,6.78,4,2,0,2,0,2,2.2,1
3.89,37,2.4,6,16.63,6,19.03,5,2,1.16,2,2,0,2,0,2,3.6,1
3.89,5,0,2,0.05,2,0.05,5,2,152.41,6,2,0,2,0,2,2.4,1
3.89,5,0,2,1.76,2,1.76,5,2,1.08,2,2,0,2,0,2,2,0
3.89,5,0,2,2.97,2,2.97,5,2,2.84,2,2,0,2,0,2,2,0
3.89,5,0,2,0.43,2,0.43,5,2,0,2,2,0,2,0,2,2,0
